source,target,value
EL UNIVERSAL (Palabras muy relevantes),FACEBOOK (Palabras muy relevantes),25
EL UNIVERSAL (Palabras muy relevantes),FACEBOOK (Palabras relevantes),13
EL UNIVERSAL (Palabras muy relevantes),FACEBOOK (Palabras poco relevantes),13
EL UNIVERSAL (Palabras muy relevantes),FACEBOOK (Palabras muy poco relevantes),14
EL UNIVERSAL (Palabras relevantes),FACEBOOK (Palabras muy relevantes),5
EL UNIVERSAL (Palabras relevantes),FACEBOOK (Palabras relevantes),6
EL UNIVERSAL (Palabras relevantes),FACEBOOK (Palabras poco relevantes),5
EL UNIVERSAL (Palabras relevantes),FACEBOOK (Palabras muy poco relevantes),6
EL UNIVERSAL (Palabras poco relevantes),FACEBOOK (Palabras muy relevantes),4
EL UNIVERSAL (Palabras poco relevantes),FACEBOOK (Palabras relevantes),4
EL UNIVERSAL (Palabras poco relevantes),FACEBOOK (Palabras poco relevantes),7
EL UNIVERSAL (Palabras poco relevantes),FACEBOOK (Palabras muy poco relevantes),3
EL UNIVERSAL (Palabras muy poco relevantes),FACEBOOK (Palabras muy relevantes),2
EL UNIVERSAL (Palabras muy poco relevantes),FACEBOOK (Palabras relevantes),0
EL UNIVERSAL (Palabras muy poco relevantes),FACEBOOK (Palabras poco relevantes),4
EL UNIVERSAL (Palabras muy poco relevantes),FACEBOOK (Palabras muy poco relevantes),5
