source,target,value
AMLO (Palabras muy relevantes),EL UNIVERSAL (Palabras muy relevantes),161
AMLO (Palabras muy relevantes),EL UNIVERSAL (Palabras relevantes),86
AMLO (Palabras muy relevantes),EL UNIVERSAL (Palabras poco relevantes),75
AMLO (Palabras muy relevantes),EL UNIVERSAL (Palabras muy poco relevantes),82
AMLO (Palabras relevantes),EL UNIVERSAL (Palabras muy relevantes),51
AMLO (Palabras relevantes),EL UNIVERSAL (Palabras relevantes),48
AMLO (Palabras relevantes),EL UNIVERSAL (Palabras poco relevantes),51
AMLO (Palabras relevantes),EL UNIVERSAL (Palabras muy poco relevantes),38
AMLO (Palabras poco relevantes),EL UNIVERSAL (Palabras muy relevantes),12
AMLO (Palabras poco relevantes),EL UNIVERSAL (Palabras relevantes),22
AMLO (Palabras poco relevantes),EL UNIVERSAL (Palabras poco relevantes),25
AMLO (Palabras poco relevantes),EL UNIVERSAL (Palabras muy poco relevantes),20
AMLO (Palabras muy poco relevantes),EL UNIVERSAL (Palabras muy relevantes),20
AMLO (Palabras muy poco relevantes),EL UNIVERSAL (Palabras relevantes),27
AMLO (Palabras muy poco relevantes),EL UNIVERSAL (Palabras poco relevantes),24
AMLO (Palabras muy poco relevantes),EL UNIVERSAL (Palabras muy poco relevantes),21
