palabras,valor
presidente,0.6346021138128606
lópez,0.5317932558029219
obrador,0.43949833403062405
medios,0.37407057370140284
méxico,0.24608815152219018
andrés,0.23746693800420662
manuel,0.2344547577630286
amlo,0.2215172058908092
nacional,0.20109951199652756
gobierno,0.16423286245092947
crítica,0.16255736961350473
expresión,0.15512886367053202
comunicación,0.15486395935937508
cienfuegos,0.14863334623955488
justicia,0.14616308846805184
caso,0.1447371448258992
defensa,0.14274472766093965
libertad,0.13265324385321609
general,0.12566344163110835
análisis,0.11553510645457901
país,0.11307826285731636
exsecretario,0.10751521191929467
político,0.10566673175719933
informar,0.10364380219992894
presidencial,0.09742492372143167
público,0.0947614302182935
prensa,0.09082422703173063
respuesta,0.08993935518551587
presidencia,0.08860742406526378
septiembre,0.08693170108529341
argumentos,0.08690551482028609
recursos,0.08507126918435708
relación,0.08435010392667087
redes,0.08401307488864355
ciento,0.0800130685754576
mañanera,0.07673061090312255
grupos,0.07630446506052681
sociales,0.07624097339658505
reconstrucción,0.07575575095336856
unidos,0.07559596435962801
san,0.07511055342860738
nexos,0.07482856007908374
causas,0.07352242917710741
república,0.07251206067624964
luis,0.07221903067553581
información,0.07059820992861705
tehuantepec,0.07017581483344812
día,0.06947374184261688
jornada,0.06934820368704135
derecho,0.06906103112183966
tolerancia,0.06898770760544953
peña,0.06843162743560571
diario,0.06689804051306533
corrupción,0.06603455498644704
veneno,0.06573564481508146
participación,0.06567352176384915
quieren,0.06490294459597164
presuntos,0.06464403808071
acuerdo,0.06297379622958692
ambiente,0.06213445659565146
años,0.06171093242125329
investigación,0.05983281901247755
fuerzas,0.0597584200425807
descalificación,0.05892765223932172
armadas,0.05889477071891217
nieto,0.05687351466200419
fiscalía,0.05598585256247635
estadista,0.05567334964229998
seguridad,0.054034746024693416
medio,0.05367628750620587
polarización,0.05339883767686674
alto,0.05302131322547263
críticas,0.052589817597146545
error,0.052444743120462524
responder,0.05234384597393786
señalamientos,0.05195878404078302
